date,close,code,name,ret,log_ret,ma5,ma20,ma60,vol20,ret_20d,year_month,signal
2020-10-23,23.61399756,sz.000002,万科A,-0.0039299749910681,-0.0039377176350389,23.498807328,23.839296102,23.321996072333334,0.2410241663079103,-0.004274982955392614,2020-10,0
2020-10-26,23.715636,sz.000002,万科A,0.0043041606886655,0.0042949242828806,23.542850652,23.784241947,23.34929773283333,0.1765112909560253,-0.04416184151120321,2020-10,0
2020-10-27,23.26673289,sz.000002,万科A,-0.0189285714285714,-0.0191100100680214,23.541156678,23.7135185325,23.373882219,0.1860206149733242,-0.057629662086532314,2020-10,0
2020-10-28,22.80089004,sz.000002,万科A,-0.0200218420094648,-0.0202249953306554,23.420884524,23.6271258585,23.388116190833333,0.1955226709219137,-0.0714744279120576,2020-10,0
2020-10-29,23.19050406,sz.000002,万科A,0.0170876671619613,0.0169433150837757,23.31755211,23.5712247165,23.405576613666668,0.2074925362957132,-0.045408860197610215,2020-10,0
2020-10-30,23.33449185,sz.000002,万科A,0.0062089116143171,0.0061897157386207,23.261650968,23.547932574,23.42856781916667,0.1972641854578851,-0.01829402523834551,2020-10,1
2020-11-02,23.67328665,sz.000002,万科A,0.014519056261343,0.0144146640021847,23.253181098,23.561907859500003,23.457750123999997,0.1947909983264972,0.013306881556805292,2020-11,0
2020-11-03,23.74104561,sz.000002,万科A,0.0028622540250446,0.0028581655755887,23.348043642,23.5462386,23.48207203216667,0.1658172067947881,-0.012071269921408608,2020-11,0
2020-11-04,23.85115392,sz.000002,万科A,0.0046378879771673,0.0046271661131447,23.558096418,23.5407331845,23.5019671065,0.1663426888473301,-0.003560142507621708,2020-11,0
2020-11-05,24.77436975,sz.000002,万科A,0.0387073863636364,0.0379770423880239,23.874869556,23.592822884999997,23.542558174833335,0.2121728806069889,0.044691252339577596,2020-11,0
2020-11-06,24.95223702,sz.000002,万科A,0.007179487179487,0.0071538373566185,24.19841859,23.6533824555,23.585705308166663,0.2127534152623236,0.051513851581877095,2020-11,0
2020-11-09,25.04540559,sz.000002,万科A,0.0037338764426342,0.0037269228299017,24.472842378000003,23.706742636500003,23.635169795166668,0.2110139656953964,0.045258430842920194,2020-11,0
2020-11-10,24.84212871,sz.000002,万科A,-0.0081163341224214,-0.0081494508750262,24.693058998,23.7634907655,23.670628207166665,0.2085856065564861,0.0484455230716115,2020-11,0
2020-11-11,25.21480299,sz.000002,万科A,0.0150017047391748,0.0148902920383252,24.965788812,23.847765972,23.71134494833333,0.2096769078450135,0.0709499073391893,2020-11,0
2020-11-12,25.20633312,sz.000002,万科A,-0.0003359086328518,-0.0003359650627938,25.052181486,23.935005633,23.740621748833338,0.2088354282235407,0.0734937683247681,2020-11,0
2020-11-13,24.60497235,sz.000002,万科A,-0.0238575268817203,-0.0241467266669708,24.982728552,23.9854013595,23.761373298,0.2302717606183624,0.0438600681578492,2020-11,0
2020-11-16,24.7320204,sz.000002,万科A,0.0051635111876076,0.0051502259763158,24.920051514,24.0472314105,23.782830302,0.2291772727898673,0.0533308298838631,2020-11,0
2020-11-17,25.36726065,sz.000002,万科A,0.0256849315068492,0.0253606152872222,25.025077902,24.151834305,23.807392925,0.2383530737377638,0.08838850832654499,2020-11,0
2020-11-18,26.05332012,sz.000002,万科A,0.0270450751252087,0.0266858200759848,25.192781328,24.2843877705,23.850589261999996,0.2515522321819507,0.1099750681679109,2020-11,0
2020-11-19,26.18036817,sz.000002,万科A,0.0048764629388817,0.0048646115065818,25.387588338,24.4080478725,23.8995733435,0.2499748723431393,0.1018222151458806,2020-11,0
2020-11-20,26.14648869,sz.000002,万科A,-0.0012940795858945,-0.001294917629957,25.695891605999996,24.534672429,23.947428109,0.2488859602941994,0.1044581105510542,2020-11,0
2020-11-23,26.29047648,sz.000002,万科A,0.005506964690638,0.0054918568009499,26.007582822,24.663414453,23.999376645,0.2488636909809961,0.10566091455302669,2020-11,0
2020-11-24,26.12954895,sz.000002,万科A,-0.0061211340206185,-0.0061399449636211,26.160040482,24.806555256,24.051889839,0.2361660596410691,0.1184683519609796,2020-11,0
2020-11-25,26.0871996,sz.000002,万科A,-0.0016207455429496,-0.0016220603718679,26.166816378,24.970870734,24.102850223500003,0.2176615399541006,0.1368694484274948,2020-11,0
2020-11-26,26.20577778,sz.000002,万科A,0.0045454545454544,0.0045351551653911,26.1718983,25.12163442,24.1573397205,0.2143604096022097,0.1243272358109879,2020-11,0
2020-11-27,26.77325907,sz.000002,万科A,0.0216548157724629,0.0214236810826064,26.297252376,25.293572781,24.2231223775,0.2212541293017855,0.1397731399691337,2020-11,0
2020-11-30,26.0025009,sz.000002,万科A,-0.0287883581145207,-0.0292108716343749,26.23965726,25.4100334935,24.267306866,0.2528522816206199,0.09646572559326999,2020-11,0
2020-12-01,26.04485025,sz.000002,万科A,0.001628664495114,0.0016273396593754,26.222717520000003,25.5252237255,24.316432112,0.2530170356510496,0.0952321360633394,2020-12,0
2020-12-02,26.36670531,sz.000002,万科A,0.0123577235772358,0.01228199020099,26.278618661999996,25.651001295000004,24.3716274315,0.2544468376588988,0.1029519716634079,2020-12,0
2020-12-03,26.1718983,sz.000002,万科A,-0.0073883713459685,-0.007415800549817,26.271842766,25.7208777225,24.419341032500004,0.2246790145197177,0.056856213953803,2020-12,0
2020-12-04,25.40961,sz.000002,万科A,-0.0291262135922328,-0.0295588022415442,25.999112952,25.7437463715,24.450256058,0.2508232533274775,0.020550513182083195,2020-12,0
2020-12-07,24.90988767,sz.000002,万科A,-0.0196666666666667,-0.0198626290962517,25.780590306,25.7369704755,24.469172101,0.2610210087740907,-0.002850029927217706,2020-12,0
2020-12-08,24.71508066,sz.000002,万科A,-0.0078204692281536,-0.0078512094712639,25.514636388,25.730618073,24.479759438500004,0.2609032190247822,-0.002554165032949904,2020-12,0
2020-12-09,24.27464742,sz.000002,万科A,-0.0178204249485949,-0.0179811206946137,25.09622481,25.6836102945,24.484841360500003,0.2616714452985873,-0.035376294720719605,2020-12,0
2020-12-10,24.20688846,sz.000002,万科A,-0.002791346824843,-0.0027952498983045,24.703222842,25.6336380615,24.4933112305,0.2616382663021946,-0.0378317329127108,2020-12,0
2020-12-11,24.10525002,sz.000002,万科A,-0.0041987403778865,-0.0042075798400149,24.442350846,25.608651945,24.4933112305,0.2487355727562322,-0.018172946408877004,2020-12,0
2020-12-14,24.49486404,sz.000002,万科A,0.016163035839775,0.0160338046288575,24.35934612,25.596794127000003,24.506298364500005,0.2552754762227797,-0.007173421756709604,2020-12,0
2020-12-15,24.18147885,sz.000002,万科A,-0.0127939142461963,-0.0128764611885446,24.252625758,25.537505037,24.518297346999997,0.2392459883416029,-0.04565226750975511,2020-12,0
2020-12-16,24.2238282,sz.000002,万科A,0.0017513134851137,0.0017497817237875,24.242461914,25.446030441,24.5286023555,0.2135939569466953,-0.0709460291498501,2020-12,0
2020-12-17,24.42710508,sz.000002,万科A,0.0083916083916084,0.0083565945909414,24.286505238,25.3583672865,24.537778048,0.2157858462857638,-0.06743088369712341,2020-12,0
2020-12-18,24.1391295,sz.000002,万科A,-0.0117891816920943,-0.0118592251421434,24.293281134,25.257999327,24.543989286,0.217653456500218,-0.0779259858033232,2020-12,0
2020-12-21,23.85962379,sz.000002,万科A,-0.011578947368421,-0.0116465053863235,24.166233084,25.1364566925,24.5280376975,0.21630884938154,-0.0950118978623822,2020-12,0
