date,close,code,name,ret,log_ret,ma5,ma20,ma60,vol20
2020-03-11,980.55163316,sh.600519,贵州茅台,0.002179930795847662,0.002177558194156329,974.191911298,937.252371646,,0.32532674588868826
2020-03-12,963.6070455,sh.600519,贵州茅台,-0.017280668439042968,-0.01743172192268494,968.690421798,939.2625312710001,,0.33192143221832626
2020-03-13,941.20328749,sh.600519,贵州茅台,-0.023249890206411994,-0.023524432639911438,961.3319679960001,940.2794604455,,0.3438531198938941
2020-03-16,903.090661,sh.600519,贵州茅台,-0.04049351186568706,-0.04133620156212953,953.37427503,939.1444608424999,,0.3739105551726671
2020-03-17,884.5548733,sh.600519,贵州茅台,-0.02052483598875343,-0.020738397701295274,934.6015000900001,937.4982459075,,0.37939400550747
2020-03-18,853.14560017,sh.600519,贵州茅台,-0.03550856377380163,-0.03615432565327462,909.120293492,933.752577941,,0.3943251847216684
2020-03-19,842.997468,sh.600519,贵州茅台,-0.011894959275389527,-0.011966270362585123,884.998377992,928.589641641,,0.3851588036699996
2020-03-20,876.24339224,sh.600519,贵州茅台,0.03943775100401603,0.03867994292881639,872.0063989419999,925.3056756010001,,0.4169089622212959
2020-03-23,862.464277,sh.600519,贵州茅台,-0.015725214434742285,-0.015850167290689835,863.8811221420001,922.4203559539999,,0.413067527118262
2020-03-24,893.780448,sh.600519,贵州茅台,0.036310107948969605,0.035666431043481994,865.7262370820001,921.6243327425002,,0.43424631735481367
2020-03-25,914.1782783,sh.600519,贵州茅台,0.022821969696969813,0.02256544415822179,877.9327727080001,921.8951753025,,0.4420636640856742
2020-03-26,901.33018436,sh.600519,贵州茅台,-0.014054254235718933,-0.014153950473246009,889.59931598,920.9442640020001,,0.4425835979199492
2020-03-27,910.2849165,sh.600519,贵州茅台,0.009935018592945877,0.0098859907566022,896.407620832,921.7271682769999,,0.4319221033095504
2020-03-30,907.322576,sh.600519,贵州茅台,-0.0032543003254300595,-0.00325960707703747,905.379280632,921.1342769855,,0.42080182882194284
2020-03-31,940.331513,sh.600519,贵州茅台,0.03638059701492535,0.03573444800888268,914.6894936320001,921.0496386855,,0.43179302094322486
2020-04-01,933.560449,sh.600519,贵州茅台,-0.007200720072007227,-0.007226770386127551,918.565927772,919.9527263174999,,0.429256535981969
2020-04-02,969.108535,sh.600519,贵州茅台,0.0380779691749773,0.03737089673483752,932.1215979000001,918.8524284175,921.3396659268333,0.43021046659472806
